AA	volcanic rock [n]
STITCHERS	STITCH, link made by drawing thread through material with a needle [n]
STITCHERY	needlework, esp modern embroidery [n]
STITCHES	STITCH, link made by drawing thread through material with a needle [n]
STITCHING	STITCH, link made by drawing thread through material with a needle [n]
STITCHINGS	STITCH, link made by drawing thread through material with a needle [n]
STITCHWORK	needlework [n]
STITCHWORKS	STITCHWORK, needlework [n]
STITCHWORT	any plant of the chickweed genus Stellaria [n]
STITCHWORTS	STITCHWORT, any plant of the chickweed genus Stellaria [n]
STITHIED	STITHY, forge or anvil [n]
STITHIES	STITHY, forge or anvil [n]
STITHY	forge or anvil [n] / forge on an anvil [v]
STITHYING	STITHY, forge or anvil [n]
STIVE	stifle [v]
STIVED	STIVE, stifle [v]
STIVER	former Dutch coin [n]
STIVERS	STIVER, former Dutch coin [n]
STIVES	STIVE, stifle [v]
STIVIER	STIVY, stuffy [adj]
STIVIEST	STIVY, stuffy [adj]
STIVING	STIVE, stifle [v]
STIVY	stuffy [adj]
STOA	covered walk that has a colonnade on one or both sides [n]
STOAE	STOA, covered walk that has a colonnade on one or both sides [n]
STOAI	STOA, covered walk that has a colonnade on one or both sides [n]
STOAS	STOA, covered walk that has a colonnade on one or both sides [n]
STOAT	small mammal of the weasel family [n]
STOATS	STOAT, small mammal of the weasel family [n]
STOB	stab (pierce with something pointed)
STOBBED	STOB [v]
STOBBING	STOB [v]
STOBIE	steel and concrete pole for supporting electricity wires [adj]
STOBS	STOB [v]
STOCCADO	fencing thrust [n]
STOCCADOES	STOCCADO, fencing thrust [n]
STOCCADOS	STOCCADO, fencing thrust [n]
STOCCATA	stoccado (fencing thrust)
STOCCATAS	STOCCATA [n]
STOCHASTIC	involving chance or randomness [adj]
STOCHASTICALLY	STOCHASTIC, involving chance or randomness [adj]
STOCIOUS	stotious (drunk)
STOCK	total amount of goods available for sale in a shop [n] / kept in stock, standard [adj] / keep for sale or future use [v]
STOCKADE	enclosure or barrier made of stakes [n] / surround with a stockade [v]
STOCKADED	STOCKADE, enclosure or barrier made of stakes [n]
STOCKADES	STOCKADE, enclosure or barrier made of stakes [n]
STOCKADING	STOCKADE, enclosure or barrier made of stakes [n]
STOCKAGE	livestock put to graze on crops [n]
STOCKAGES	STOCKAGE, livestock put to graze on crops [n]
STOCKBREEDER	a person engaged in the breeding and care of livestock [n]
STOCKBREEDERS	STOCKBREEDER, a person engaged in the breeding and care of livestock [n]
STOCKBREEDING	STOCKBREEDER, a person engaged in the breeding and care of livestock [n]
STOCKBREEDINGS	<stockbreeding>
STOCKBROKER	a broker who executes orders to buy and sell securities [n]
STOCKBROKERAGE	STOCKBROKER, a broker who executes orders to buy and sell securities [n]
STOCKBROKERAGES	<stockbrokerage>
STOCKBROKERS	STOCKBROKER, a broker who executes orders to buy and sell securities [n]
STOCKBROKING	the business of a stockbroker [n]
STOCKBROKINGS	STOCKBROKING, the business of a stockbroker [n]
STOCKCAR	car that has been strengthened for a form of racing in which the cars often collide [n]
STOCKCARS	STOCKCAR, car that has been strengthened for a form of racing in which the cars often collide [n]
STOCKED	STOCK, total amount of goods available for sale in a shop [n]
STOCKER	STOCK, total amount of goods available for sale in a shop [n]
STOCKERS	STOCK, total amount of goods available for sale in a shop [n]
STOCKFISH	fish, such as cod or haddock, cured by splitting and drying in the air [n]
STOCKFISHES	STOCKFISH, fish, such as cod or haddock, cured by splitting and drying in the air [n]
STOCKHOLDER	an owner of corporate stock [n]
STOCKHOLDERS	STOCKHOLDER, an owner of corporate stock [n]
STOCKHOLDING	STOCKHOLDER, an owner of corporate stock [n]
STOCKHOLDINGS	<stockholding>
STOCKHORN	type of obsolete woodwind instrument made from an animal horn [n]
STOCKHORNS	STOCKHORN, type of obsolete woodwind instrument made from an animal horn [n]
STOCKHORSE	a horse trained to work with sheep and cattle [n]
STOCKHORSES	STOCKHORSE, a horse trained to work with sheep and cattle [n]
STOCKIER	STOCKY, (of a person) broad and sturdy [adj]
STOCKIEST	STOCKY, (of a person) broad and sturdy [adj]
STOCKILY	STOCKY, (of a person) broad and sturdy [adj]
STOCKINESS	STOCKY, (of a person) broad and sturdy [adj]
STOCKINESSES	<stockiness>
STOCKINET	machine-knitted elastic fabric [n]
STOCKINETS	STOCKINET, machine-knitted elastic fabric [n]
STOCKINETTE	stockinet (machine-knitted elastic fabric)
STOCKINETTES	STOCKINETTE [n]
STOCKING	close-fitting covering for the foot and leg [n]
STOCKINGED	wearing stockings [adj]
STOCKINGER	a stocking weaver [n]
STOCKINGERS	STOCKINGER, a stocking weaver [n]
STOCKINGLESS	STOCKING, close-fitting covering for the foot and leg [n]
STOCKINGS	STOCKING, close-fitting covering for the foot and leg [n]
STOCKISH	stupid or dull [adj]
STOCKISHLY	STOCKISH, stupid or dull [adj]
STOCKISHNESS	STOCKISH, stupid or dull [adj]
STOCKISHNESSES	<stockishness>
STOCKIST	dealer who stocks a particular product [n]
STOCKISTS	STOCKIST, dealer who stocks a particular product [n]
STOCKJOBBER	a wholesale dealer in stocks and shares [n]
STOCKJOBBERIES	<stockjobbery>
STOCKJOBBERS	STOCKJOBBER, a wholesale dealer in stocks and shares [n]
STOCKJOBBERY	STOCKJOBBER, a wholesale dealer in stocks and shares [n]
STOCKJOBBING	a list of stocks and current prices regularly issued [n]
STOCKJOBBINGS	STOCKJOBBING, a list of stocks and current prices regularly issued [n]
STOCKKEEPER	person responsible for monitoring stock levels [n]
STOCKKEEPERS	STOCKKEEPER, person responsible for monitoring stock levels [n]
STOCKLESS	STOCK, total amount of goods available for sale in a shop [n]
STOCKLIST	list of items in stock [n]
STOCKLISTS	STOCKLIST, list of items in stock [n]
STOCKLOCK	lock that is enclosed in a wooden case [n]
STOCKLOCKS	STOCKLOCK, lock that is enclosed in a wooden case [n]
STOCKMAN	man engaged in the rearing or care of farm livestock, esp cattle [n]
STOCKMEN	STOCKMAN, man engaged in the rearing or care of farm livestock, esp cattle [n]
STOCKPICKER	person who decides which stocks a fund will invest in [n]
STOCKPICKERS	STOCKPICKER, person who decides which stocks a fund will invest in [n]
STOCKPILE	store a large quantity of (something) for future use [v] / accumulated store [n]
STOCKPILED	STOCKPILE, store a large quantity of (something) for future use [v]
STOCKPILER	STOCKPILE, store a large quantity of (something) for future use [v]
STOCKPILERS	STOCKPILE, store a large quantity of (something) for future use [v]
STOCKPILES	STOCKPILE, store a large quantity of (something) for future use [v]
STOCKPILING	STOCKPILE, store a large quantity of (something) for future use [v]
STOCKPILINGS	<stockpiling>
STOCKPOT	pot in which stock for soup is made [n]
STOCKPOTS	STOCKPOT, pot in which stock for soup is made [n]
STOCKPUNISHT	old word meaning punished by being put in stocks (archaic) [adj]
STOCKROOM	room in which a stock of goods is kept in a shop or factory [n]
STOCKROOMS	STOCKROOM, room in which a stock of goods is kept in a shop or factory [n]
STOCKROUTE	in Australia and New Zealand, a right of way for travelling stock [n]
STOCKROUTES	STOCKROUTE, in Australia and New Zealand, a right of way for travelling stock [n]
STOCKS	instrument of punishment in which an offender was locked [pl. n]
STOCKTAKE	take stock [v]
STOCKTAKEN	STOCKTAKE, take stock [v]
STOCKTAKES	STOCKTAKE, take stock [v]
STOCKTAKING	the inventorying and valuation of stock [n]
STOCKTAKINGS	STOCKTAKING, the inventorying and valuation of stock [n]
STOCKTOOK	STOCKTAKE, take stock [v]
STOCKWORK	group of veins in mine [n]
STOCKWORKS	STOCKWORK, group of veins in mine [n]
STOCKY	(of a person) broad and sturdy [adj]
STOCKYARD	yard where farm animals are sold [n]
STOCKYARDS	STOCKYARD, yard where farm animals are sold [n]
STODGE	heavy starchy food [n] / stuff (oneself or another) with food [v]
STODGED	STODGE, heavy starchy food [n]
STODGER	dull person [n]
STODGERS	STODGER, dull person [n]
STODGES	STODGE, heavy starchy food [n]
STODGIER	STODGY, (of food) heavy and starchy [adj]
STODGIEST	STODGY, (of food) heavy and starchy [adj]
STODGILY	STODGY, (of food) heavy and starchy [adj]
STODGINESS	STODGY, (of food) heavy and starchy [adj]
STODGINESSES	<stodginess>
STODGING	STODGE, heavy starchy food [n]
STODGY	(of food) heavy and starchy [adj]
STOECHIOLOGICAL	related to stoechiology [adj]
STOECHIOLOGIES	STOECHIOLOGY [n]
STOECHIOLOGY	stoichiology (the science of elements of animal tissues)
STOECHIOMETRIC	stoichiometric (of stoichiometry, the branch of chemistry that deals with the proportions in which substances react)
STOECHIOMETRIES	STOECHIOMETRY [n]
STOECHIOMETRY	stoichiometry (the branch of chemistry that deals with the numerical proportions in which substances react)
STOEP	verandah [n]
STOEPS	STOEP, verandah [n]
STOGEY	stogy (any long cylindrical inexpensive cigar)
STOGEYS	STOGEY [n]
STOGIE	stogy (any long cylindrical inexpensive cigar)
STOGIES	STOGY, any long cylindrical inexpensive cigar [n]
STOGY	any long cylindrical inexpensive cigar [n]
STOIC	person who suffers hardship without showing feelings [n] / suffering hardship without showing feelings [adj]
STOICAL	suffering great difficulties without showing one's feelings [adj]
STOICALLY	STOICAL, suffering great difficulties without showing one's feelings [adj]
STOICALNESS	STOICAL, suffering great difficulties without showing one's feelings [adj]
STOICALNESSES	<stoicalness>
STOICHEIOLOGIES	STOICHEIOLOGY [n]
STOICHEIOLOGY	stoichiology (the science of elements of animal tissues)
STOICHEIOMETRIC	stoichiometric (of stoichiometry, the branch of chemistry that deals with the proportions in which substances react)
STOICHEIOMETRY	stoichiometry (the branch of chemistry that deals with the numerical proportions in which substances react)
STOICHIOLOGICAL	STOICHIOLOGY, the science of elements of animal tissues [n]
STOICHIOLOGIES	STOICHIOLOGY, the science of elements of animal tissues [n]
STOICHIOLOGY	the science of elements of animal tissues [n]
STOICHIOMETRIC	of stoichiometry, the branch of chemistry that deals with the proportions in which substances react [adj]
STOICHIOMETRIES	STOICHIOMETRY, the branch of chemistry that deals with the numerical proportions in which substances react [n]
STOICHIOMETRY	the branch of chemistry that deals with the numerical proportions in which substances react [n]
STOICISM	indifference to pleasure and pain [n]
STOICISMS	STOICISM, indifference to pleasure and pain [n]
STOICS	STOIC, person who suffers hardship without showing feelings [n]
STOIT	bounce [v]
STOITED	STOIT, bounce [v]
STOITER	stagger [v]
STOITERED	STOITER, stagger [v]
STOITERING	STOITER, stagger [v]
STOITERS	STOITER, stagger [v]
STOITING	STOIT, bounce [v]
STOITS	STOIT, bounce [v]
STOKE	feed and tend (a fire or furnace) [v]
STOKED	very pleased [adj]
STOKEHOLD	hold for a ship's boilers [n]
STOKEHOLDS	STOKEHOLD, hold for a ship's boilers [n]
STOKEHOLE	hole in a furnace through which it is stoked [n]
STOKEHOLES	STOKEHOLE, hole in a furnace through which it is stoked [n]
STOKER	person employed to tend a furnace on a ship or train powered by steam [n]
STOKERS	STOKER, person employed to tend a furnace on a ship or train powered by steam [n]
STOKES	cgs unit of kinematic viscosity [n]
STOKESIA	American flowering plant [n]
STOKESIAS	STOKESIA, American flowering plant [n]
STOKING	STOKE, feed and tend (a fire or furnace) [v]
STOKVEL	(in S Africa) informal savings pool or syndicate [n]
STOKVELS	STOKVEL, (in S Africa) informal savings pool or syndicate [n]
STOLE	long scarf or shawl [n]
STOLED	wearing a stole [adj]
STOLEN	STEAL, take unlawfully or without permission [v]
STOLENWISE	by stealth [adv]
STOLES	STOLE, long scarf or shawl [n]
STOLID	showing little emotion or interest [adj]
STOLIDER	STOLID, showing little emotion or interest [adj]
STOLIDEST	STOLID, showing little emotion or interest [adj]
STOLIDITIES	<stolidity>
STOLIDITY	STOLID, showing little emotion or interest [adj]
STOLIDLY	STOLID, showing little emotion or interest [adj]
STOLIDNESS	the state of being stolid [n]
STOLIDNESSES	STOLIDNESS, the state of being stolid [n]
STOLLEN	rich sweet bread containing nuts, raisins, etc [n]
STOLLENS	STOLLEN, rich sweet bread containing nuts, raisins, etc [n]
STOLN	STEAL, take unlawfully or without permission [v]
STOLON	long horizontal stem that grows along the surface of the soil [n]
STOLONATE	having a stolon [adj]
STOLONIC	STOLON, long horizontal stem that grows along the surface of the soil [n]
STOLONIFEROUS	STOLON, long horizontal stem that grows along the surface of the soil [n]
STOLONS	STOLON, long horizontal stem that grows along the surface of the soil [n]
STOLPORT	airport for short take-off aircraft [n]
STOLPORTS	STOLPORT, airport for short take-off aircraft [n]
STOMA	pore in a plant leaf that controls the passage of gases [n]
STOMACH	organ in the body which digests food [n] / put up with [v]
STOMACHACHE	pain in or in the region of the stomach [n]
STOMACHACHES	STOMACHACHE, pain in or in the region of the stomach [n]
STOMACHAL	stomach medication [n]
STOMACHALS	STOMACHAL, stomach medication [n]
STOMACHED	STOMACH, organ in the body which digests food [n]
STOMACHER	decorative V-shaped panel of stiff material worn over the chest and stomach [n]
STOMACHERS	STOMACHER, decorative V-shaped panel of stiff material worn over the chest and stomach [n]
STOMACHFUL	amount the stomach can hold [n] / old word meaning stubborn [adj]
STOMACHFULNESS	STOMACHFUL, amount the stomach can hold [n]
STOMACHFULS	STOMACHFUL, amount the stomach can hold [n]
STOMACHIC	stimulating gastric activity [adj] / stomachic medicine [n]
STOMACHICAL	of the stomach [adj]
STOMACHICS	STOMACHIC, stimulating gastric activity [adj]
STOMACHIER	STOMACHY, having a large belly [adj]
STOMACHIEST	STOMACHY, having a large belly [adj]
STOMACHING	STOMACH, organ in the body which digests food [n]
STOMACHLESS	without a stomach [adj]
STOMACHOUS	resentful [adj]
STOMACHS	STOMACH, organ in the body which digests food [n]
STOMACHY	having a large belly [adj]
STOMACK	(in E Africa) be pregnant [n]
STOMACKS	STOMACK, (in E Africa) be pregnant [n]
STOMAL	STOMA, pore in a plant leaf that controls the passage of gases [n]
STOMAS	STOMA, pore in a plant leaf that controls the passage of gases [n]
STOMATA	STOMA, pore in a plant leaf that controls the passage of gases [n]
STOMATAL	of, relating to, or possessing stomata or a stoma [adj]
STOMATE	opening on leaf through which water evaporates [n]
STOMATES	STOMATE, opening on leaf through which water evaporates [n]
STOMATIC	of or relating to a mouth or mouthlike part [adj]
STOMATITIC	STOMATITIS, inflammation of the mouth [n]
STOMATITIDES	STOMATITIS, inflammation of the mouth [n]
STOMATITIS	inflammation of the mouth [n]
STOMATITISES	STOMATITIS, inflammation of the mouth [n]
STOMATODAEA	STOMATODAEUM, oral cavity of a vertebrate embryo [n]
STOMATODAEUM	oral cavity of a vertebrate embryo [n]
STOMATOGASTRIC	of mouth and stomach [adj]
STOMATOLOGICAL	STOMATOLOGY, the study of the mouth [n]
STOMATOLOGIES	STOMATOLOGY, the study of the mouth [n]
STOMATOLOGIST	person who works in stomatology [n]
STOMATOLOGISTS	STOMATOLOGIST, person who works in stomatology [n]
STOMATOLOGY	the study of the mouth [n]
STOMATOPLASTIES	STOMATOPLASTY, plastic surgery of the mouth [n]
STOMATOPLASTY	plastic surgery of the mouth [n]
STOMATOPOD	one of the Stomatopoda, marine crustaceans, including the squilla [n]
STOMATOPODS	STOMATOPOD, one of the Stomatopoda, marine crustaceans, including the squilla [n]
STOMATOUS	stomatal (of, relating to, or possessing stomata or a stoma)
STOMIA	STOMIUM, part of the sporangium of ferns that ruptures to release the spores [n]
STOMIUM	part of the sporangium of ferns that ruptures to release the spores [n]
STOMIUMS	STOMIUM, part of the sporangium of ferns that ruptures to release the spores [n]
STOMODAEA	STOMODEUM, oral cavity of a vertebrate embryo [n]
STOMODAEAL	STOMODAEUM, oral cavity of a vertebrate embryo [n]
STOMODAEUM	oral cavity of a vertebrate embryo [n]
STOMODAEUMS	STOMODAEUM, oral cavity of a vertebrate embryo [n]
STOMODEA	STOMODEUM, oral cavity of a vertebrate embryo [n]
STOMODEAL	STOMODEUM, oral cavity of a vertebrate embryo [n]
STOMODEUM	oral cavity of a vertebrate embryo [n]
STOMODEUMS	STOMODEUM, oral cavity of a vertebrate embryo [n]
STOMP	tread heavily [v] / rhythmic stamping jazz dance [n]
STOMPED	STOMP, tread heavily [v]
STOMPER	song with a strong beat [n]
STOMPERS	STOMPER, song with a strong beat [n]
STOMPIE	cigarette butt [n]
STOMPIER	STOMPY, (of music) encouraging stomping of the feet [adj]
STOMPIES	STOMPIE, cigarette butt [n]
STOMPIEST	STOMPY, (of music) encouraging stomping of the feet [adj]
